Offer details,FaceValue,Quantities For Offer Redemption,Product
"ONE Tide PODS OR Tide Power PODS (excludes Tide Liquid/Powder Laundry Detergent, Tide Simply, Tide Simply PODS, and Tide PODS 9 ct and below, and trial/travel size).",,['ONE'],"['Tide Liquid/Powder Laundry Detergent', 'Tide', 'Tide Simply PODS', 'Tide PODS 9']"
"ONE Always Radiant, Infinity, PURE, Pure Cotton, Ultra, OR Maxi Pads 10 ct OR higher (excludes Always Liners and Always Discreet).",,['ONE'],"['Ultra', 'Maxi Pads', 'Liners', 'Always Discreet']"
On Any ONE (1) Oikos Greek Yogurt Cup (Excluding Oikos Triple Zero),,['1'],"['Oikos Greek Yogurt Cup', 'Excluding Oikos Triple Zero']"
on any ONE (1) pack of Energizer® Batteries,,"['ONE', '1']",['Energizer']
"on TWO (2) Purina® Beggin®, Busy® or DentaLife® Dog Treats or Chews, any size, any variety",,['TWO'],"['Purina', 'Beggin', 'DentaLife', 'Chews']"
"ONE Gain 81 oz or larger Liquid Fabric Softener, Downy Unstopables or",,"['ONE', '81']","['Liquid Fabric Softener', 'Downy Unstopables']"
"TWO Old Spice Anti-Perspirant/Deodorant, Body Wash OR Bar Soap (excludes twin packs, High Endurance, Body Spray and Invisible Spray and trial/travel size).",,['TWO'],"['Spice Anti-Perspirant/Deodorant', 'Bar Soap', 'High Endurance']"
"ONE Tide Simply Laundry Detergent 34 oz OR 31 oz OR Tide Simply PODS 13 ct OR Downy Liquid Fabric Conditioner 40 ld OR Bounce/Downy Sheets 40 ct TO 60 ct OR In-Wash Scent Boosters 4.3 oz OR ERA Laundry Detergent 50 oz or smaller (includes Downy Unstopables, Fresh Protect, and Odor Protect) (excludes Bounce/Downy Wrinkle Guard Sheets, Downy Libre Enjuague, Gain Fireworks, and trial/travel size).",,"['ONE', '34', '13', '40', '60', '4.3', '50']","['Tide Simply Laundry', 'Laundry Detergent', 'Downy Unstopables', 'Odor Protect', 'Bounce/Downy Wrinkle Guard Sheets', 'Downy Libre Enjuague', 'Fireworks']"
"ONE Tampax Pearl, Radiant OR PURE Tampons (14 ct or higher).",,"['ONE', '14']",[]
"off any ONE (1) Bag of PULL-UPS® Training Pants (27 ct. or lower, not valid on trial packs)",,['27'],"['PULL-UPS', 'Training Pants']"
on any ONE (1) Reser's Deli Sides 12-14oz Item,,"['ONE', '1']",['Reser']
"on any ONE (1) Glade® 3-Wick Candles, Twin Pack 3.4oz Candles, PIugIn® Scented Oil Refill Pack, or Large Automatic Refills Only (Excludes 1 Count 3.4oz Candles and PlugIns® Scented Oil Warmer Only packs)",,"['ONE', '1']","['Glade', 'Candles', 'Candles', 'PlugIns']"
"on any one (1) Pine-Sol® product, 40oz+",,"['1', '40oz+']",['Pine-Sol']
"ONE Gain Flings 30 ct or larger OR Gain Ultra Flings 18 ct or larger (excludes Gain Liquid/Powder Laundry Detergent, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).",,"['ONE', '30', '18']",[]
"on Any ONE (1) BENADRYL® 20ct, 24ct or 4oz product (excludes topical, trial &amp; travel sizes)",,"['1', '4']",['BENADRYL']
"ONE Always DISCREET Incontinence Product (excludes other Always Products, Always Discreet Boutique and trial/travel size).",,['ONE'],"['Always Products', 'Discreet Boutique']"
"ONE Tide Simply Laundry Detergent 50 oz or larger OR ERA Laundry Detergent 75 oz or larger (excludes Tide Detergent, Tide PODS, Tide Simply PODS, and trial/travel size).",,"['ONE', '50', '75']","['Tide Detergent', 'Tide PODS', 'Tide Simply PODS']"
"any ONE (1) Lily’s Chocolate Bar, Chocolate Candy or Baking Chips",,['ONE'],[]
ONE Gillette Disposable 2 ct or larger (excludes Sensor 2 ct and Venus Products).,,['ONE'],"['Gillette Disposable 2', 'Sensor 2 ct and Venus Products']"
when you buy ONE PACKAGE any flavor/variety Cascadian Farm™ Cereal or Granola,,['ONE'],['Cascadian Farm™ Cereal']
on any ONE (1) crunchy Crunchmaster® Crackers or Snacks,,"['ONE', '1']",[]
ONE Venus OR Daisy Disposable 2 ct or larger (excludes Daisy 2 ct).,,['ONE'],"['Venus', 'Daisy Disposable 2', 'Daisy 2']"
on any ONE (1) 12ct. multipack SHEBA® PERFECT PORTIONS™ Premium Cat Food,,['ONE'],['SHEBA']
on any ONE (1) Aleve® or Aleve®PM product 40ct. or larger (excludes Aleve-D®),,['ONE'],"['Aleve', 'Aleve-D']"
ONE Gillette Blade Refill (4 ct or larger).,,"['ONE', '4']",['Gillette Blade Refill']
"on ONE (1) Sparkling Ice® 12 pack, any variety",,"['ONE', '1', '12']",['Sparkling Ice']
ONE Prilosec OTC Product.,,['ONE'],[]
ONE Olay Facial Cleanser (excludes trial/travel size).,,['ONE'],[]
any THREE (3) Happy Baby Organics &amp; Happy Tot Organics pouches,,"['THREE', '3']",['Happy Tot Organics']
on any ONE (1) 1850® Ready to Drink product,,['ONE'],[]
"ONE Crest Gum Detoxify, Gum &amp; Enamel Repair, OR Gum &amp; Sensitivity 3.0 oz or larger (excludes all other variants, kids, and trial/travel size).",,['ONE'],"['Crest Gum Detoxify', 'Gum &amp', 'Enamel Repair', 'Gum &amp']"
"ONE Oral-B Glide Manual Floss, Floss Picks, Interdental Brush OR Interdental Picks (excludes trial/travel size).",,['ONE'],['Floss Picks']
off any ONE (1) Box of PULL-UPS® Training Pants (40 ct. or higher),,"['ONE', '1', '40']","['Box', 'PULL-UPS', 'Training Pants']"
ONE Dreft Newborn Laundry Detergent OR Dreft Active Baby Laundry Detergent OR Dreft Pure Gentleness Laundry Detergent (excludes trial/travel size).,,[],[]
"on ONE (1) Allegra® Allergy 24ct or larger, Allegra-D®, or Children's Allegra® Product",,"['ONE', '1']",['Allegra-D']
"when you buy ONE (1) Adult ZYRTEC® product, any variety (24-45ct). Excludes trial &amp; travel sizes",,['1'],['Adult ZYRTEC']
"ONE Olay Facial Moisturizer (excludes Serums, Complete, Active Hydrating and trial/travel size).",,['ONE'],"['Olay Facial Moisturizer', 'Serums', 'Complete']"
"ONE Gillette Razor (excludes Disposables, Venus Products and trial/travel size).",,['ONE'],['Gillette Razor']
ONE Dreft Blissfuls In Wash Scent Boosters 8.6 oz or larger (excludes trial/travel size).,,['ONE'],[]
ONE (1) Nexium® 24HR 28ct or larger,,"['ONE', '1']",[]
"on ONE (1) NUTRO™ WHOLESOME ESSENTIALS™ Dry Cat Food bag, any size",,"['ONE', '1', '™']",[]
"off any ONE (1) Claritin® up to 55ct, excludes 60ct or larger",,[],['Claritin']
"on any ONE (1) OFF!® Product(Excludes Club Packs, Twin Packs, 2 oz. and 2.5oz. OFF!® Products)",,"['ONE', '1', '2', '2.5']",['Twin Packs']
ONE Venus Blade Refill (4 ct or larger).,,"['ONE', '4']",['Venus Blade Refill']
ONE Venus Razor (excludes disposables).,,['ONE'],['Venus Razor']
"ONE Tide Purclean Laundry Detergent (excludes Studio by Tide Laundry Detergent, Tide Detergent, Tide PODS, Tide Rescue, Tide Simply Laundry Detergent, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size).",,['ONE'],"['Tide Purclean Laundry Detergent', 'Studio', 'Tide Laundry Detergent', 'Tide Detergent', 'Tide PODS', 'Tide Rescue', 'Tide Simply Laundry Detergent', 'Tide Simply PODS', 'Tide Detergent 10']"
ONE Burts Bees Adult Toothpaste (excludes trial/travel size).,,['ONE'],['Adult Toothpaste']
on any ONE (1) Osteo Bi-Flex® product (28ct or larger),,"['ONE', '1']",['Osteo Bi-Flex']
off any ONE (1) Children's Claritin® Syrup 4oz or larger,,['4'],[]
"ONE Tide Simply PODS 20 ct or larger (excludes Tide detergent, Tide Simply Detergent, Tide PODS, and trial/travel size)",,"['ONE', '20']","['Tide', 'Tide Simply Detergent', 'Tide PODS']"
ONE (1) Mizkan Dipping Sauce (Located in the International Aisle),,"['ONE', '1']",['Mizkan']
on any ONE (1) package of HUGGIES® LITTLE SWIMMERS® Disposable Swimpants (10 ct. or larger),,"['ONE', '1', '10']","['HUGGIES', 'Disposable Swimpants']"
off any ONE (1) Children's Claritin® Chewables 20ct OR ONE (1) Children's Reditab®,,[],['Reditab']
ONLY On Colgate® Optic White® Renewal Toothpaste (3.0 oz. or larger),,['3.0'],['Colgate']
"ONE Tide Antibacterial Spray (excludes Tide Stain Pen, Tide Rescue, Tide Laundry Detergent, Tide PODS and trial/travel size).",,['ONE'],"['Tide Stain Pen', 'Tide Rescue', 'Tide Laundry Detergent', 'Tide PODS']"
on any ONE (1) Raid® Essential Oils Product(Excludes Raid® Club Packs and Twin Packs),,"['ONE', '1']",['Raid']
SAVE $1.00 on any TWO (2) box of TRISCUIT Cheddar or Tzatziki Crackers (8.5 oz.),$1.00,"['TWO', '2', '8.5']",[]
"SAVE $0.40 on any ONE (1) Lipton® TeaBags,K-Cup®, Liquid or Powdered Iced Tea Mix product.",$0.40,"['ONE', '1']","['Lipton', 'K-Cup', 'Liquid or Powdered Iced Tea Mix']"
"Save $1.50 any ONE (1) Tillamook Ice Cream, 56oz.",$1.50,['56'],[]
Save $1.00 Off The Purchase of One (1) GreenWise Pork Loin Boneless Chops valued at $10.00 or More,$1.00,['1'],[]
Save $1.00 on TWO (2) Reese's Standard or King Size bars,$1.00,"['TWO', '2']","['Reese', 'Standard or King Size']"
On any Colgate TotalSF Advanced (5.1 oz) or Colgate® Optic White® Advanced (4.5 oz) Toothpaste,,['5.1'],"['Colgate', 'Colgate']"
Save $1.00 on any TWO (2) Starbucks single serve products,$1.00,"['TWO', '2']",['Starbucks']
Save $1.00 on any ONE (1) Tigertail Fusion Wing Sauce or Mustard,$1.00,['ONE'],[]
"Save $1.50 on any ONE (1)Tostitos® Dip (10 - 24oz) When You Buy any TWO (2) Tostitos® Tortilla Chips (9 – 18oz bags, Excludes Cantina)",$1.50,"['ONE', '1)Tostitos', '10', 'TWO', '2', '9', '18']",[]
"Save $0.50 on ONE (1) Pine-Sol® Product, 40 oz. or Larger",$0.50,"['1', '40']",['Pine-Sol']
Save $0.20 on any ONE (1) Mrs. Butterworth's NEW Breakfast for 1 Pancake Cups,$0.20,"['ONE', '1', '1']","['Butterworth', 'NEW Breakfast']"
Save $1.00 on any ONE (1) Oikos or Light &amp; Fit tub,$1.00,"['ONE', '1']","['Light &amp', 'Fit']"
Save $0.50 on any one (1) pack of Energizer® Batteries,$0.50,"['one', '1']",['Energizer']
Save $0.50 on any ONE (1) Dole® Acai Bowl,$0.50,['ONE'],['Dole']
Save $1.50 on any TWO (2) Ziploc® brand bags		<br>,$1.50,['TWO'],['Ziploc']
"Save $1.00 on any ONE (1) BENADRYL® 20ct, 24ct or 4oz product (excludes topical, trial &amp; travel sizes)",$1.00,"['ONE', '1', '4']",['BENADRYL']
Save $2.00 on any TWO (2) Healthy Choice Power Dressing,$2.00,['TWO'],[]
Save $1.00 on any ONE (1) Ripple Dairy Free Milk,$1.00,"['ONE', '1']",[]
"Save $0.50 Off The Purchase of One (1) Publix Glass Cleaner With Ammonia, Trigger Bottle, 32-oz bot.",$0.50,['32-oz'],"['The Purchase of One', 'Publix Glass Cleaner', 'Ammonia', 'Trigger Bottle']"
"Save $1.00 Off The Purchase of Three (3) Publix Soft Drink Or Seltzer Water, 2-L bot.",$1.00,"['Three', '3']",[]
"Save $1.00 on ONE Crest Toothpaste 3 oz or more (excludes 4.6 oz Crest Cavity, Regular, Base Baking Soda, Tartar Control/Protection, F&amp;W Pep Gleem, Gum Detoxify and Gum Enamel variants, Whitening Therapy variants, Kids and trial/travel size).",$1.00,"['ONE', '3', '4.6']","['Tartar Control/Protection', 'Pep Gleem', 'Gum Detoxify', 'Gum Enamel']"
Save $1.00 on any ONE (1) Reynolds Bakeware,$1.00,"['ONE', '1']",['Reynolds Bakeware']
Save $2.00 Off The Purchase of One (1) Publix Aprons Gourmet Chicken Burger Feta and Bell Pepper,$2.00,['1'],"['Burger Feta', 'Bell Pepper']"
Save $1.00 on any THREE (3) Good Humor products,$1.00,"['THREE', '3']",[]
"Save $3.00 on ONE Super Pack OF Pampers Swaddlers, Cruisers OR Baby Dry Diapers (excludes Overnights, 360 FIT and trial/travel size).",$3.00,['360'],"['Cruisers OR Baby Dry Diapers', 'Overnights', 'FIT']"
"Save $0.50 Off The Purchase of One (1) Publix Bamboo Skewers 4, 6, or 12-in, 100-ct. pkg.",$0.50,"['12-in', '100-ct']","['The Purchase of One', 'Publix Bamboo Skewers']"
Save $1.00 on any ONE (1) ChapStick,$1.00,"['ONE', '1']",[]
"Save $0.50 on any ONE (1) Good Foods Guacamole, Plant-based Dip, Dairy Dip or Salsa",$0.50,"['ONE', '1']","['Good Foods Guacamole', 'Dip', 'Dairy Dip', 'Salsa']"
Save $3.00 on ONE BOX Pampers Pure Diapers (excludes trial/travel size).,$3.00,['ONE'],[]
Save $2.00 on ONE (1) Kingsford® Hardwood Pellets 20lb Bag		<br>,$2.00,"['1', '20']","['Kingsford', 'Bag\t\t']"
"Earn 200 BONUS FUEL POINTS when you buy a participating DOORDASH gift card. *Restrictions apply, see Store for details.",,['200'],['DOORDASH']
"Get 4x FUEL Points on a Mastercard® or Visa® Gift Card when you buy a $25, $50, or $100 Mastercard® or Visa® gift card. *Excludes Variable Load Gift Cards. Restrictions Apply. See Store for Details. (Valid 5/22/20 - 5/25/20)","$25,",['4x'],"['Mastercard', 'Visa', 'Mastercard', 'Visa', 'Variable Load Gift Cards', 'Restrictions Apply', 'Valid 5/22/20 - 5/25/20']"
"Get 4x FUEL Points on FRI - SAT - SUN - MON Only when you buy a participating gift card, prepaid wireless card or prepaid phone. *Restrictions Apply.  See Store for Details.",,['4x'],['Restrictions Apply']
"Save $1.00 on 2 Reese's bars When you buy TWO (2) Reese's Standard or King Size bars, any variety",$1.00,"['TWO', '2']","[""2 Reese's"", 'Reese', 'Standard or King Size']"
"Save $2.00 on Reese's, Hershey's and Kit Kat Candy Bags when you buy any ONE (1) Reese's, Hershey's or Kit Kat Candy Bags (31oz or larger)",$2.00,['31'],"['Reese', ""Hershey's"", 'Kit Kat Candy', ""Hershey's"", 'Kat Candy']"
"Save $1.00 on Olive Garden® Parmesan Ranch Dressing when you buy ONE (1) Olive Garden® Parmesan Ranch Dressing, any size.",$1.00,[],"['Olive Garden', 'Parmesan Ranch', 'Parmesan Ranch Dressing']"
"Save $0.40 on Lipton® Tea Products When you buy on ONE (1) Lipton® TeaBags,K-Cup®, Liquid or Powdered Iced Tea Mix product, any variety or size",$0.40,['1'],"['Lipton® Tea Products', 'Lipton', 'K-Cup', 'Liquid or Powdered Iced Tea Mix']"
"Save $2.00 on Nando's PERinaise When you buy ONE (1) Nando's PERinaise item, any variety or size",$2.00,['1'],"['Nando', 'Nando']"
"Save $1.00 on Twizzlers Licorice Candy Bags when you buy any TWO (2) Twizzlers Licorice Candy Bags, any variety (11-16oz)",$1.00,"['TWO', '11']",[]
"Save $2.00 on 2 Crest Toothpaste when you buy TWO (2) participating Crest Toothpaste (Excludes Crest Cavity Protection, Baking Soda &amp; Peroxide, Tartar Control/Protection, and trial/travel sizes)",$2.00,"['2', 'TWO', '2']","['Crest Toothpaste', 'Excludes Crest Cavity Protection', 'Baking Soda &amp', 'Peroxide,', 'Tartar Control/Protection']"
Save $2.00 on Reese's and York Thins Candy Bags when you buy any TWO (2) Reese's or York Thins Candy Bags (7.2-7.37oz),$2.00,['TWO'],"['Reese', 'York Thins Candy Bags', 'Reese', 'York Thins Candy Bags']"
"Save $0.80 on Kroger Chip Variety Packs When you buy ONE (1) Kroger Chip Variety Pack, any variety (13-19 OZ)",$0.80,[],['OZ']
"Save $0.50 on Private Selection BBQ Sauce When you buy ONE (1) Private Selection BBQ Sauce, any variety (13-19 OZ)",$0.50,"['1', '13']",['OZ']
"Save $1.00 on LISTERINE® Mouthwash or LISTERINE® READY! TABS® when you buy ONE (1) LISTERINE® Mouthwash, any varitey (500mL or larger) or ONE (1) LISTERINE® READY! TABS®, any variety (8 Ct or larger)",$1.00,"['1', 'ONE', '1', '8']",[]
"Save $1.00 on 2 Ben &amp; Jerry's Ice Cream Pints or Cookie Dough Chunks when you buy TWO (2) Ben &amp; Jerry's Ice Cream Pints or Ben &amp; Jerry's Cookie Dough Chunks, any variety or size",$1.00,['TWO'],"['2 Ben &amp', ""Jerry's Ice Cream Pints or Cookie Dough Chunks"", ""Jerry's Ice Cream Pints or Ben &amp"", 'Jerry', 'Cookie Dough Chunks']"
Save $4.00 on 2 Colgate® Optic White® or Colgate TotalSF Toothpastes when you buy TWO (2) Colgate® Optic White® or Colgate TotalSF Toothpastes (3.0 oz or larger),$4.00,"['2', 'TWO', '2', '3.0']","['Colgate', 'Colgate', 'Colgate', 'Colgate']"
Save $2.00 on 2 Oral B items when you buy TWO (2) participating Oral B Manual Toothbrushes (Excludes Oral B Healthy Clean &amp; Cavity Defense brushes and trial/travel sizes),$2.00,"['TWO', '2']",[]
"Save $2.00 on Axe When you buy ONE (1) Axe Antiperspirant or Deodorant 2.7-3oz, Body Spray 4oz, Bodywash 16oz, or Shampoo 16oz. Excludes all other sizes and twin packs. This can be redeemed 5 times in a single transaction.",$2.00,"['1', '2.7-3', '16', '16', '5']","['Axe Antiperspirant', 'Body Spray']"
"Save $1.00 on Oral-B Glide Floss when you buy ONE (1) Oral-B Glide Manual Floss, Floss Picks, Interdental Brush OR Interdental Picks. Excludes trial/travel size.",$1.00,['1'],['Floss Picks']
Save $1.50 on Dove or Degree item When you buy ONE (1) Dove or Dove Men+Care Shampoo and Conditioner (12oz or larger) or Antiperspirant/Deodorant Sticks or Dry Sprays. Excludes trial and travel) or Degree MOTIONSENSE Antiperspirant or Deodorant Stick 2.6-3.0oz (excludes trial and travel).This can be redeemed 5 times in a single transaction,$1.50,"['12', '5']","['Degree', 'Antiperspirant/Deodorant Sticks', 'Dry Sprays', 'Degree MOTIONSENSE Antiperspirant or Deodorant Stick']"
"Save $2.00 on Oral-B Adult Manual Toothbrush when you buy ONE (1) Oral-B Pulsar OR Multi-pack Adult Manual Toothbrush. Excludes Kids, Healthy Clean, Cavity Defense and trial/travel size.",$2.00,['1'],"['Adult Manual Toothbrush', 'Healthy Clean']"
"Save $0.65 on Oikos Blue Single Serve Cup When You Buy ONE (1) Oikos Blue Single Serve Cup, any size. Excludes Oikos Triple Zero products.",$0.65,['1'],"['Oikos Blue Single Serve Cup', 'Oikos Triple']"
"Save $1.00 on TIDE LAUNDRY GROUP ONE Tide Laundry Detergent 50 oz OR 46 oz (excludes Tide Purclean Laundry Detergent, Studio by Tide Laundry Detergent, Tide PODS, Tide Rescue, Tide Simply, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size).",$1.00,"['50', '46']","['TIDE LAUNDRY GROUP', 'Tide Purclean Laundry Detergent', 'Tide Laundry Detergent', 'Tide PODS', 'Tide Rescue', 'Tide Simply', 'Tide Simply PODS', 'Tide Detergent 10']"
Save $2.00 on Persil® Detergent when you buy ONE (1) Persil® Laundry Detergent (100oz) or Discs (38-40ct).,$2.00,"['ONE', '100']","['Persil', 'Persil', 'Laundry Detergent', 'Discs']"
"Save $3.00 on Crest Toothpaste when you buy ONE (1) Crest 3D White Whitening Therapy Enamel Care, Sensitivity, Charcoal OR Ingredients (3.0 oz or larger). Excludes all other variants, Kids and trial/travel size.",$3.00,"['ONE', '1', '3.0']","['Crest Toothpaste', 'White Whitening Therapy Enamel Care, Sensitivity, Charcoal OR Ingredients']"
"Save $2.00 on Love Beauty &amp; Planet or Schmidt's item When you buy ONE (1)  Love, Beauty &amp; Planet Shampoo, Bodywash, or Lotion (13.5-16oz), or Schmidt's Deodorant (2.65-3.25oz). Excludes trial and travel sizes. This can be redeemed 5 times in a single transaction",$2.00,"['1', '13.5', '2.65', '5']","['Love Beauty &amp', 'Schmidt', 'Love, Beauty &amp', 'Lotion', 'Schmidt']"
"Save $3.00 on Crest Gum Health Toothpaste when you buy ONE (1) Crest Gum Detoxify, Gum &amp; Enamel Repair, OR Gum &amp; Sensitivity (3.0 oz or larger). Excludes all other variants, kids, and trial/travel size.",$3.00,"['ONE', '1', '3.0']","['Crest Gum Health Toothpaste', 'Enamel Repair', 'Gum &amp', 'Sensitivity']"
"Save $0.50 on Colgate® Kids Toothpaste when you buy ONE (1) Colgate® Kids Toothpaste, any variety (4.4 oz or larger)",$0.50,"['1', '4.4']","['Colgate', 'Colgate']"
"Save $1.50 on Community Coffee When you buy ONE (1) Bag or Single-Serve Box of Community® Coffee, any variety or size",$1.50,['1'],"['Community Coffee', 'Bag']"
Save $1.00 on Burt's Bees Adult Toothpaste when you buy ONE (1) Burt's Bees Adult Toothpaste. Excludes trial/travel size.,$1.00,"['ONE', '1']","[""Burt's""]"
Save $0.75 on Burt's Bees Kids Toothpaste when you buy ONE (1) Burt's Bees Kids Toothpaste. Excludes trial/travel size.,$0.75,"['ONE', '1']","[""Burt's Bees Kids Toothpaste"", 'Bees Kids Toothpaste']"
Save $3.00 on Colgate® Optic White Renewal when you buy ONE (1) Colgate® Optic White Renewal Toothpaste (3.0 oz or larger),$3.00,"['1', '3.0']","['Colgate', 'Colgate']"
"Save $2.00 on Kauai SS Coffee Pods When you buy ONE (1) Kauai SS Coffee Pods, any variety (12ct)",$2.00,[],"['Kauai SS Coffee Pods', 'Kauai SS Coffee Pods']"
"Save $1.00 on Suave item When you buy ONE (1)  Suave Professionals Green, Silver, or Gold, Men's or Kids Shampoo and Conditioner (12-28oz). Excludes Suave Essentials Shampoo and Conditioner or Trial Sizes. This can be redeemed 5 times in a single transaction",$1.00,"['1', '5']",['Conditioner or Trial Sizes']
"Save $1.25 on Kroger Frozen Appetizers When you buy ONE (1) Kroger Frozen Appetizer, any variety (20-33 OZ)",$1.25,['20-33'],"['Frozen Appetizer', 'OZ']"
Save $3.00 on 2 TRESemme items When you buy TWO (2) TRESemme Premium Shampoo and Conditioner or Styling Aid (5-22oz). Excludes trial and travel sizes. This can be redeemed 5 times in a single transaction,$3.00,"['2', 'TWO', '2', '5', '5']",[]
"Save $2.00 on Nando's PERi PERi Sauce When you buy ONE (1) Nando's PERi PERi Sauce, any variety or size",$2.00,['1'],"['Nando', 'Nando']"
"Save $0.40 on Private Selection Mustard When you buy ONE (1) Private Selection Mustard, any variety (8-9 OZ)",$0.40,"['1', '8']",['OZ']
"Save $1.00 on Planet Oat oatmilk When you buy ONE (1) Planet Oat oatmilk, any variety (52oz)",$1.00,"['1', '52']",[]
"Save $1.00 on Vero Gusto Premium Pasta Sauce When you buy ONE (1) Vero Gusto Premium Pasta Sauce, any variety or size",$1.00,['1'],[]
Save $0.30 on COFFEE MATE® product when you buy ONE (1) COFFEE MATE® Original Powder Coffee Creamer Canister (35.3 oz).,$0.30,['1'],"['MATE', 'Coffee Creamer Canister']"
Save $2.00 on 2 Herbal Essences Products when you buy TWO (2) Herbal Essences Shampoo or Conditioner Products (11.7oz). [Excludes trial/travel size].,$2.00,"['2', 'TWO', '2', '11.7']",[]
"Save $2.00 on 2 Pantene Products when you buy TWO (2) Pantene Shampoo, Conditioner or 2N1 Products (12-12.6oz). [Excludes trial/travel size].",$2.00,"['2', 'TWO', '2', '2N1']","['Pantene Shampoo', 'Conditioner']"
Save $1.50 on  Pantene Product when you buy ONE (1) Pantene Hair Affair Product (3.7-5.9oz). [Excludes trial/travel size].,$1.50,"['ONE', '1', '3.7-5.9']",['Pantene Hair Affair Product']
Save $1.50 on  Waterless Product when you buy ONE (1) Waterless Product (3.6-7.6oz). [Excludes trial/travel size].,$1.50,"['ONE', '1', '3.6']",[]
Save $2.00 on 2 Aussie Products when you buy TWO (2) Aussie Shampoo or Conditioner Products (12.1oz). [Excludes trial/travel size].,$2.00,"['TWO', '2', '12.1']",['Aussie Shampoo']
"Save $1.50 on Advil or Advil PM Products when you buy any ONE (1) Advil or Advil PM, any variety (40ct or larger)",$1.50,[],"['Advil', 'Advil PM Products']"
Save $3.00 on 2 Aussie Products when you buy TWO (2) Aussie Shampoo or Conditioner Products (26.2oz). [Excludes trial/travel size].,$3.00,"['2', 'TWO', '2', '26.2']",['Aussie Shampoo']
Save $3.00 on 2 Pantene Products when you buy TWO (2) Pantene Nutrient Blends Products (4.7-9.6oz). [Excludes trial/travel size].,$3.00,"['2', 'TWO', '2', '4.7']",[]
Save $3.00 on 2 Herbal Essences Products when you buy TWO (2) Herbal Essences Bio:Renew Shampoo or Conditioner Products (12.1-13.5oz). [Excludes trial/travel size].,$3.00,"['2', 'TWO', '2', '12.1']",[]
Save $3.00 on 2 Herbal Essences Products when you buy TWO (2) Herbal Essences Shampoo or Conditioner Products (29.2oz). [Excludes trial/travel size].,$3.00,"['2', 'TWO', '2', '29.2']",[]
"Save $.50 on RETHINK JUICE SPLASH when you buy ONE (1) RETHINK JUICE SPLASH, Organic Naturally Flavored Kids Juice, any variety (8 pack)",$.50,['8'],['Organic Naturally Flavored Kids Juice']
"Save $0.40 on Kroger Flavored Sandwich Spreads When you buy ONE (1) Kroger Flavored Sandwich Spread, any variety (11 FO)",$0.40,['11'],"['Kroger Flavored Sandwich Spreads', 'FO']"
"Save $0.50 on ZZZQUIL PURE Zzzs Products when you buy ONE (1) Vicks ZzzQuil PURE Zzzs Product. Excludes Kidz, Soothing Aromatherapy Balm, and trial/travel size.",$0.50,['1'],['ZZZQUIL PURE Zzzs Products']
Save $3.00 on 2 Hair Food Products when you buy TWO (2) Hair Food Products (10.1oz). [Excludes trial/travel size].,$3.00,"['TWO', '2', '10.1']",['2 Hair Food Products']
Save $1.00 on Tide Pods when you buy ONE (1) Tide Pods (15-20ct),$1.00,['1'],['Tide Pods']
"Save $0.50 Energizer® Batteries when you buy one (1) pack of Energizer® Batteries, any variety or size",$0.50,['1'],['Energizer']
"Save $1.00 on One Vietti Artisan Chili when you buy ONE (1) Vietti                                                      Artisan Canned Chili, any variety (15 oz)",$1.00,"['One', '15']","['Vietti Artisan Chili', 'Vietti                                                      Artisan', 'Chili']"
"Buy 1 Finders Keepers, Get 1 Free! Buy ONE (1) Finders Keepers Milk Chocolate Candy &amp; Surprise, get your SECOND (2nd) Free",,[],[]
Save $2.00 on Colgate® or Colgate® Zero Mouthwash when you buy ONE (1) Colgate® or Colgate® Zero Mouthwash (400 mL or larger),$2.00,"['Zero', 'ONE', '1', 'Zero', '400']","['Colgate', 'Colgate', 'Colgate', 'Colgate']"
Save $2.00 on Oral-B Special Care Oral Rinse when you buy ONE (1) Oral-B Special Care Oral Rinse (475 ml or larger). Excludes trial/travel size.,$2.00,['1'],[]
"Save $.50 on Di Martino Pasta When you buy ONE (1) Di Martino Pasta, any variety or size",$.50,[],[]
"Save $3.00 on Culturelle Probiotics When you buy ONE (1) Culturelle Probiotic, any variety or size",$3.00,['1'],['Culturelle Probiotics']
Save $5.00 on Oral-B Vitality OR Pro 500 Rechargeable Electric Toothbrush when you buy ONE (1) Oral-B Vitality OR Pro 500 Rechargeable Electric Toothbrush.,$5.00,"['1', '500']",[]
"Save $5.00 on 2 Febreze, Prilosec, Vicks, Clearblue items when you buy TWO (2) Febreze Plug (2ct or 3ct Refills), Prilosec OTC (14ct), Vicks ZZZQuil (42ct or 12oz), Vicks Pure ZZZ's Gummies (48ct), or Clearblue Pregnancy Tests (2ct)",$5.00,"['2', 'TWO', '2', '12']","['Prilosec', 'Prilosec', 'Vicks ZZZQuil', 'Clearblue Pregnancy Tests']"
"Save $1.00 on Simple Truth Organic Potato Chips When you buy ONE (1) Simple Truth Organic Potato Chips, any variety (5 oz)",$1.00,"['1', '5']",['Simple Truth Organic Potato Chips']
"Save $0.50 on Pine-Sol® Products When you buy ONE (1) Pine-Sol® Product, 40 oz. or Larger, any variety",$0.50,"['1', '40']","['Pine-Sol', 'Pine-Sol', 'Larger']"
